id,modulus,exponent
2219092.crt,107041280831457418653854175627078835582124820259530157849961035040006840764496341822018449231323159991391259784010907151409734488460143597348260364356604218571860886433519511520635845415293026715884650142349673094350984699449563753498055146351642073952189409931820569388122317339282720910774015067729271152129,65537
2233645.crt,107041280831457418653854175627078835582124820259530157849961035040006840764496341822018449231323159991391259784010907151409734488460143597348260364356604218571860886433519511520635845415293026715884650142349673094350984699449563753498055146351642073952189409931820569388122317339282720910774015067729271152129,65537
2244233.crt,107041280831457418653854175627078835582124820259530157849961035040006840764496341822018449231323159991391259784010907151409734488460143597348260364356604218571860886433519511520635845415293026715884650142349673094350984699449563753498055146351642073952189409931820569388122317339282720910774015067729271152129,65537
2068580.crt,108801651437245993350091591338280493250470478857226341694206225567136544766653510540197591680217822843364811943775728659233400301511211095108151566718461866198015985910085741894401808827145737837349216027294944908916562396815151079133128924905873670940960105205432061192603918145487206525650656904600562104021,65537
2098142.crt,108801651437245993350091591338280493250470478857226341694206225567136544766653510540197591680217822843364811943775728659233400301511211095108151566718461866198015985910085741894401808827145737837349216027294944908916562396815151079133128924905873670940960105205432061192603918145487206525650656904600562104021,65537
2083076.crt,108801651437245993350091591338280493250470478857226341694206225567136544766653510540197591680217822843364811943775728659233400301511211095108151566718461866198015985910085741894401808827145737837349216027294944908916562396815151079133128924905873670940960105205432061192603918145487206525650656904600562104021,65537
2036392.crt,108801651437245993350091591338280493250470478857226341694206225567136544766653510540197591680217822843364811943775728659233400301511211095108151566718461866198015985910085741894401808827145737837349216027294944908916562396815151079133128924905873670940960105205432061192603918145487206525650656904600562104021,65537
200258.crt,112649963208452508139119275764502110542357570549910034071715398782466344921907688896056314472602589834158221385239059467338163959220976545938266385951557880119878232634226234189340224814648210440686002965412784379969826931451917805123762258733600765345389922555981481584795267354588861446800569069268056923323,65537
1190682.crt,112649963208452508139119275764502110542357570549910034071715398782466344921907688896056314472602589834158221385239059467338163959220976545938266385951557880119878232634226234189340224814648210440686002965412784379969826931451917805123762258733600765345389922555981481584795267354588861446800569069268056923323,65537
116754.crt,117478550324969021622391100620397839627311141773467834306580973640991444881809116282110301765410025396804215167115206733433586901581477424125014242251854697670498864257839446194207607082211251938068162322277949409841412420960986801901518510724344302746726876460529877277172135000832459672888986535578908580041,65537
169023.crt,117478550324969021622391100620397839627311141773467834306580973640991444881809116282110301765410025396804215167115206733433586901581477424125014242251854697670498864257839446194207607082211251938068162322277949409841412420960986801901518510724344302746726876460529877277172135000832459672888986535578908580041,65537
137891.crt,117478550324969021622391100620397839627311141773467834306580973640991444881809116282110301765410025396804215167115206733433586901581477424125014242251854697670498864257839446194207607082211251938068162322277949409841412420960986801901518510724344302746726876460529877277172135000832459672888986535578908580041,65537
128493.crt,117478550324969021622391100620397839627311141773467834306580973640991444881809116282110301765410025396804215167115206733433586901581477424125014242251854697670498864257839446194207607082211251938068162322277949409841412420960986801901518510724344302746726876460529877277172135000832459672888986535578908580041,65537
1425587.crt,121608978313930892601336229325273707876898817549317716728890792884781562699397237422349558371561509391549616406760399079742363813181579300717250668222590901522537973598743374435578161107273471795283874024468245411613447677085832036015708439308739868979972908064459357006164197331889483347100265763108254138999,65537
1619869.crt,121608978313930892601336229325273707876898817549317716728890792884781562699397237422349558371561509391549616406760399079742363813181579300717250668222590901522537973598743374435578161107273471795283874024468245411613447677085832036015708439308739868979972908064459357006164197331889483347100265763108254138999,65537
2443893.crt,134523965528706955357389236324381445886918018359093412605553718252070127693550432449241131252176295916031949936103298971347433124090388813123081901864694648016862849824691975929871824411139161841673960781705340820687840289886246987239967274547853906722464083446113237264028226208505897965858432626262957770707,65537
2470863.crt,134523965528706955357389236324381445886918018359093412605553718252070127693550432449241131252176295916031949936103298971347433124090388813123081901864694648016862849824691975929871824411139161841673960781705340820687840289886246987239967274547853906722464083446113237264028226208505897965858432626262957770707,65537
2467223.crt,134523965528706955357389236324381445886918018359093412605553718252070127693550432449241131252176295916031949936103298971347433124090388813123081901864694648016862849824691975929871824411139161841673960781705340820687840289886246987239967274547853906722464083446113237264028226208505897965858432626262957770707,65537
2465346.crt,134523965528706955357389236324381445886918018359093412605553718252070127693550432449241131252176295916031949936103298971347433124090388813123081901864694648016862849824691975929871824411139161841673960781705340820687840289886246987239967274547853906722464083446113237264028226208505897965858432626262957770707,65537
2443078.crt,134523965528706955357389236324381445886918018359093412605553718252070127693550432449241131252176295916031949936103298971347433124090388813123081901864694648016862849824691975929871824411139161841673960781705340820687840289886246987239967274547853906722464083446113237264028226208505897965858432626262957770707,65537
